>FR773158_S002442234;tax=d:Archaea,p:"Thaumarchaeota",o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera;	>FR773158_S002442234;tax=d:Archaea,p:"Thaumarchaeota",c:Thaumarchaeota_incertae_sedis,o:Nitrososphaerales,f:Nitrososphaeraceae,g:Nitrososphaera;
>2264948130_U010303690;tax=d:Archaea,p:Aenigmarchaeota,g:Candidatus_Aenigmarchaeum;	>2264948130_U010303690;tax=d:Archaea,p:Aenigmarchaeota,c:Aenigmarchaeota_incertae_sedis,o:Aenigmarchaeota_incertae_sedis,f:Aenigmarchaeota_incertae_sedis,g:Candidatus_Aenigmarchaeum;
>2264949424_U010303691;tax=d:Archaea,p:Diapherotrites,g:Candidatus_Iainarchaeum;	>2264949424_U010303691;tax=d:Archaea,p:Diapherotrites,c:Diapherotrites_incertae_sedis,o:Diapherotrites_incertae_sedis,f:Diapherotrites_incertae_sedis,g:Candidatus_Iainarchaeum;
>CP010424_U010303683;tax=d:Archaea,p:Diapherotrites,g:Diapherotrites_Incertae_Sedis_AR10;	>CP010424_U010303683;tax=d:Archaea,p:Diapherotrites,c:Diapherotrites_incertae_sedis,o:Diapherotrites_incertae_sedis,f:Diapherotrites_incertae_sedis,g:Diapherotrites_Incertae_Sedis_AR10;
>AB201309_S000543454;tax=d:Archaea,p:Diapherotrites,g:Diapherotrites_Incertae_Sedis_AR10;	>AB201309_S000543454;tax=d:Archaea,p:Diapherotrites,c:Diapherotrites_incertae_sedis,o:Diapherotrites_incertae_sedis,f:Diapherotrites_incertae_sedis,g:Diapherotrites_Incertae_Sedis_AR10;
>GL982576_U010303693;tax=d:Archaea,p:Nanohaloarchaeota,g:Candidatus_Nanosalina;	>GL982576_U010303693;tax=d:Archaea,p:Nanohaloarchaeota,c:Nanohaloarchaeota_incertae_sedis,o:Nanohaloarchaeota_incertae_sedis,f:Nanohaloarchaeota_incertae_sedis,g:Candidatus_Nanosalina;
>GL982569_U010303694;tax=d:Archaea,p:Nanohaloarchaeota,g:Candidatus_Nanosalina;	>GL982569_U010303694;tax=d:Archaea,p:Nanohaloarchaeota,c:Nanohaloarchaeota_incertae_sedis,o:Nanohaloarchaeota_incertae_sedis,f:Nanohaloarchaeota_incertae_sedis,g:Candidatus_Nanosalina;
>KP308750_U010303689;tax=d:Archaea,p:Pacearchaeota,g:Pacearchaeota_Incertae_Sedis_AR13;	>KP308750_U010303689;tax=d:Archaea,p:Pacearchaeota,c:Pacearchaeota_incertae_sedis,o:Pacearchaeota_incertae_sedis,f:Pacearchaeota_incertae_sedis,g:Pacearchaeota_Incertae_Sedis_AR13;
>GG730049_U010303692;tax=d:Archaea,p:Parvarchaeota,g:Candidatus_Parvarchaeum;	>GG730049_U010303692;tax=d:Archaea,p:Parvarchaeota,c:Parvarchaeota_incertae_sedis,o:Parvarchaeota_incertae_sedis,f:Parvarchaeota_incertae_sedis,g:Candidatus_Parvarchaeum;
>CP010425_U010303684;tax=d:Archaea,p:Woesearchaeota,g:Woesearchaeota_Incertae_Sedis_AR15;	>CP010425_U010303684;tax=d:Archaea,p:Woesearchaeota,c:Woesearchaeota_incertae_sedis,o:Woesearchaeota_incertae_sedis,f:Woesearchaeota_incertae_sedis,g:Woesearchaeota_Incertae_Sedis_AR15;
>gwa2_scaffold_1731_16S_1_U010303688;tax=d:Archaea,p:Woesearchaeota,g:Woesearchaeota_Incertae_Sedis_AR16;	>gwa2_scaffold_1731_16S_1_U010303688;tax=d:Archaea,p:Woesearchaeota,c:Woesearchaeota_incertae_sedis,o:Woesearchaeota_incertae_sedis,f:Woesearchaeota_incertae_sedis,g:Woesearchaeota_Incertae_Sedis_AR16;
>gwa2_scaffold_3211_16S_1_U010303685;tax=d:Archaea,p:Woesearchaeota,g:Woesearchaeota_Incertae_Sedis_AR17;	>gwa2_scaffold_3211_16S_1_U010303685;tax=d:Archaea,p:Woesearchaeota,c:Woesearchaeota_incertae_sedis,o:Woesearchaeota_incertae_sedis,f:Woesearchaeota_incertae_sedis,g:Woesearchaeota_Incertae_Sedis_AR17;
>gwa2_scaffold_3934_16S_1_U010303686;tax=d:Archaea,p:Woesearchaeota,g:Woesearchaeota_Incertae_Sedis_AR18;	>gwa2_scaffold_3934_16S_1_U010303686;tax=d:Archaea,p:Woesearchaeota,c:Woesearchaeota_incertae_sedis,o:Woesearchaeota_incertae_sedis,f:Woesearchaeota_incertae_sedis,g:Woesearchaeota_Incertae_Sedis_AR18;
>CP010426_U010303687;tax=d:Archaea,p:Woesearchaeota,g:Woesearchaeota_Incertae_Sedis_AR20;	>CP010426_U010303687;tax=d:Archaea,p:Woesearchaeota,c:Woesearchaeota_incertae_sedis,o:Woesearchaeota_incertae_sedis,f:Woesearchaeota_incertae_sedis,g:Woesearchaeota_Incertae_Sedis_AR20;
>FR774763_S002350909;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Acidicapsa,s:Acidicapsa_borealis;	>FR774763_S002350909;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Acidicapsa,s:Acidicapsa_borealis;
>EU780204_S002441759;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Acidicapsa,s:Acidicapsa_ligni;	>EU780204_S002441759;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Acidicapsa,s:Acidicapsa_ligni;
>AB561884_S002150745;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Acidipila;	>AB561884_S002150745;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Acidipila;
>CP001472_S002288412;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Acidobacterium,s:Acidobacterium_capsulatum;	>CP001472_S002288412;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Acidobacterium,s:Acidobacterium_capsulatum;
>D26171_S000995207;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,g:Acidobacterium;	>D26171_S000995207;tax=d:Bacteria,p:"Acidobacteria",c:Acidobacteria_Gp1,o:Acidobacteria_Gp1_incertae_sedis,f:Acidobacteria_Gp1_incertae_sedis,g:Acidobacterium;
